"","PTS","AGE","MIN","FGA","X3PM","REB","AST","WEIGHT","HEIGHT"
"68",2.3,21,6.4,2.2,0.2,1.1,0.3,91,198
"69",23.1,29,34,18.8,3.6,3.9,4.7,86,191
"70",15.1,21,31.2,13.1,2.4,4.1,4.8,88,196
"71",4,25,16.3,3.6,0.3,3.1,1.7,93,196
"72",9.4,28,20.9,6.8,0.1,6.8,1.8,109,211
"73",12.9,21,27.1,11.7,1.2,4.7,4.1,84,188
"74",24.3,22,35.3,18.4,1.6,3.1,4.4,86,185
"75",8.2,29,23,6.8,0.7,2.5,3.4,91,191
"76",7.7,33,19.8,6,1.5,1.6,3.3,83,180
"77",5.2,25,12.4,4.8,0.9,3.2,0.7,105,208
"78",6,25,15.4,6,1,0.9,1.6,91,193
"79",28.8,30,35.8,19.9,4.1,4.2,7.5,88,188
"80",6.5,28,18.9,4.8,1.4,3.2,1.3,95,196
"81",6.7,27,19.7,6.4,1,2,2,95,196
"82",19,25,28.5,15.5,2.9,2.6,5.8,88,193
